Neighbourhood,Latitude,Longitude,Cluster
"Adelaide, King, Richmond",43.650486300000004,-79.3794979135182,0
Agincourt,43.785353099999995,-79.27854939999999,2
"Agincourt North, L'Amoreaux East, Milliken, Steeles East",43.8080383,-79.26643910000001,2
"Albion Gardens, Beaumond Heights, Humbergate, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown",43.74166540000001,-79.58454336862495,2
"Alderwood, Long Branch",43.60171730000001,-79.54523250000007,2
"Bathurst Manor, Downsview North, Wilson Heights",43.763892950000006,-79.45636693710951,3
Bayview Village,43.769196599999994,-79.37666170000007,3
"Bedford Park, Lawrence Manor East",43.737387600000005,-79.41092529999997,2
Berczy Park,43.64798435,-79.37539591138857,0
"Birch Cliff, Cliffside West",43.70211214999998,-79.26009053015675,3
"Bloordale Gardens, Eringate, Markland Wood, Old Burnhamthorpe",43.6353169,-79.56367440000005,2
"Brockton, Exhibition Place, Parkdale Village",43.650917299999975,-79.44002159999997,2
Business Reply Mail Processing Centre 969 Eastern,43.662743899999995,-79.32155800000004,3
"CFB Toronto, Downsview East",43.7374732,-79.46476329999997,3
"CN Tower, Bathurst Quay, Island airport, Harbourfront West, King and Spadina, Railway Lands, South Niagara",43.64256369999999,-79.38708718320463,2
"Cabbagetown, St. James Town",43.66447339999999,-79.3669861,1
Caledonia-Fairbanks,43.689025599999994,-79.45351200000003,3
Canada Post Gateway Processing Centre,43.63696560000002,-79.61581900000004,0
Cedarbrae,43.75646655000001,-79.22669244258803,0
Central Bay Street,43.656962300000025,-79.38422420000005,2
"Chinatown, Grange Park, Kensington Market",43.65292369999998,-79.3980316,2
Christie,43.66411059999998,-79.41840510000002,1
Church and Wellesley,43.66552420000001,-79.38380109999999,1
"Clairlea, Golden Mile, Oakridge",43.70882310000001,-79.2959856,2
"Clarks Corners, Sullivan, Tam O'Shanter",43.79640949999999,-79.29779510000002,3
"Cliffcrest, Cliffside, Scarborough Village West",43.7219387,-79.23623240000005,2
"Cloverdale, Islington, Martin Grove, Princess Gardens, West Deane Park",43.63363699999999,-79.54974469999998,3
"Commerce Court, Victoria Hotel",43.64809515000001,-79.37902072047352,0
Davisville,43.70431229999999,-79.38851690000001,1
Davisville North,43.70431229999999,-79.38851690000001,1
"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West",43.68809000000002,-79.39409350000004,2
"Del Ray, Keelesdale, Mount Dennis, Silverthorn",43.691115800000006,-79.47601329999998,2
"Design Exchange, Toronto Dominion Centre",43.647741200000006,-79.38011450000002,0
Don Mills North,43.73717799999999,-79.34345140000003,3
"Dorset Park, Scarborough Town Centre, Wexford Heights",43.752846699999985,-79.28206700000004,1
"Dovercourt Village, Dufferin",43.66530690000001,-79.43263619999999,3
Downsview Central,43.7492988,-79.46224800000002,4
Downsview Northwest,43.7492988,-79.46224800000002,4
Downsview West,43.7492988,-79.46224800000002,4
"Downsview, North Park, Upwood Park",43.7492988,-79.46224800000002,4
"East Birchmount Park, Ionview, Kennedy Park",43.71416720000001,-79.271109,3
East Toronto,43.626243,-79.39696199999999,2
"Emery, Humberlea",43.75207439999999,-79.54236570000006,2
"Fairview, Henry Farm, Oriole",43.65396299999998,-79.38720699999995,0
"First Canadian Place, Underground city",43.64876810000001,-79.38169179283027,0
"Flemingdon Park, Don Mills South",43.71843149999998,-79.33320400000002,0
"Forest Hill North, Forest Hill West",43.69355859999999,-79.4139023,0
Glencairn,43.70871169999999,-79.44068530000001,3
"Guildwood, Morningside, West Hill",43.7548985,-79.1977755,3
"Harbord, University of Toronto",43.66152250000002,-79.40974460000002,2
"Harbourfront East, Toronto Islands, Union Station",43.6400801,-79.38014949999997,2
"Harbourfront, Regent Park",43.6400801,-79.38014949999997,2
"High Park, The Junction South",43.64628134999999,-79.4637944620008,3
"Highland Creek, Rouge Hill, Port Union",43.79011720000001,-79.17333439999997,3
Hillcrest Village,43.79966370000001,-79.3650189,3
"Humber Bay Shores, Mimico South, New Toronto",43.6056466,-79.50132070000001,0
"Humber Bay, King's Mill Park, Kingsway Park South East, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea",43.6400463,-79.49502800000003,4
Humber Summit,43.76007779999998,-79.57175980000005,3
Humewood-Cedarvale,43.69378129999999,-79.42819140000003,3
Islington Avenue,43.6782071,-79.5382694,3
"Kingsview Village, Martin Grove Gardens, Richview Gardens, St. Phillips",43.69953910000001,-79.5563459,3
"Kingsway Park South West, Mimico NW, The Queensway West, Royal York South West, South of Bloor",43.65035170000001,-79.5000088,3
L'Amoreaux West,43.79900300000001,-79.30596689999997,2
"Lawrence Heights, Lawrence Manor",43.72277839999999,-79.45093320000002,2
Lawrence Park,43.72919900000001,-79.40325250000002,1
Leaside,43.70479829999999,-79.36809040000001,3
"Little Portugal, Trinity",43.64741325,-79.43111632546055,3
"Maryvale, Wexford",43.75905079999999,-79.31022970000002,2
"Moore Park, Summerhill East",43.6903876,-79.38329649999997,3
"Newtonbrook, Willowdale",43.79388629999996,-79.42567902301057,2
North Toronto West,43.64654659999999,-79.41952629999996,1
Northwest,43.64654659999999,-79.41952629999996,1
"Northwood Park, York University",43.75413509999999,-79.50448000000004,3
"Parkdale, Roncesvalles",43.640495399999985,-79.43689650000003,2
Parkwoods,43.75879989999999,-79.32019659999996,2
Queen's Park,43.65998030000001,-79.39036860000003,0
Rosedale,43.678355600000025,-79.38074570000002,3
Roselawn,43.70985169999997,-79.40429480000006,1
"Rouge, Malvern",43.804930399999996,-79.16583740000003,3
"Runnymede, Swansea",43.665580200000015,-79.4821078,0
"Ryerson, Garden District",43.65846944999999,-79.37899327245894,1
Scarborough Village,43.743742200000014,-79.21163240000004,3
"Silver Hills, York Mills",43.76122239999998,-79.36838179999997,0
St. James Town,43.66940320000001,-79.3727041,4
Stn A PO Boxes 25 The Esplanade,43.64643520000002,-79.37484599999998,3
Studio District,43.64439510000002,-79.39957009999993,0
"The Annex, North Midtown, Yorkville",43.67033770000003,-79.40711700000001,4
The Beaches,43.6710244,-79.29671200000001,2
"The Beaches West, India Bazaar",43.6710244,-79.29671200000001,2
"The Danforth West, Riverdale",43.6863598,-79.30031579999998,2
"The Junction North, Runnymede",43.66547749999997,-79.470352,2
"The Kingsway, Montgomery Road, Old Mill North",43.6473811,-79.51133279999996,2
Thorncliffe Park,43.70455300000001,-79.34540740000007,2
Upper Rouge,43.804930399999996,-79.16583740000003,3
Victoria Village,43.73265800000001,-79.31118919999996,3
Westmount,43.69363990000001,-79.52104260000004,3
Weston,43.70016080000003,-79.51624739999993,2
Willowdale South,43.775355799999964,-79.41668598239262,1
Willowdale West,43.775355799999964,-79.41668598239262,1
Woburn,43.7598243,-79.22529080000002,2
"Woodbine Gardens, Parkview Hill",43.71207849999998,-79.30256729999998,1
Woodbine Heights,43.6999302,-79.31913160000002,3
York Mills West,43.7440391,-79.406657,0
