,Return,Risk,Beta
LT,0.11390939430499117,0.013708216344788594,1.3156966519488111
ICICIBANK,0.11286490424484642,0.019888709944004667,1.5695832978429325
EICHERMOT,-0.08838169246777411,0.015083284437590026,0.789718678592294
HDFC,0.0841657002810433,0.012126346217096098,1.0971556071963802
WIPRO,0.15450210144723073,0.012333505118079803,0.3548681486507837
SUNPHARMA,0.2402921571726001,0.019871456087427505,1.014476067719258
ITC,0.12299842831771966,0.011826830599142522,0.849629588090378
VIDEOIND,-1.5390177260453897,0.03480098460395675,0.4204443812548077
HINDZINC,-0.018594804211981106,0.016759813526501275,1.1842593564907737
TCS,-0.18797089658929414,0.04668100286979493,-0.41716406482009466
